Id,Created,SAP Publish,Story Type,YY,MM,DD,Tagline,Location,Place Category,Story Category,Author Trk,Story Yr Trk,Story Mnth Trk,Story Dt Trk,URL,Domain,Manual
1,2014-10-06 22:46:36 -0700,,Magazine,2014,7,1,"Bacon, bacon, who's got the bacon?","","","",true,true,true,false,http://www.travelandleisure.com/articles/the-ultimate-bacon-guide,travelandleisure.com,
5,2014-10-08 15:40:31 -0700,,Magazine,2014,9,12,tagline goes here,"","","",true,true,true,true,http://indefinitelywild.gizmodo.com/riding-the-worlds-best-downhill-bike-park-1632929952,gizmodo.com,
6,2014-10-08 19:24:07 -0700,,Magazine,2014,8,14,tagline for hawaii,"","","",true,true,true,true,http://www.usatoday.com/experience/beach/hawaii/stop-drop-and-pop-it-8-places-to-propose-on-kauai/14034977/,usatoday.com,
8,2014-10-08 19:50:46 -0700,,Magazine,2014,10,8,Edigtor tagline goes right here untl the end of the sentence,"","","",true,true,true,true,http://www.huffingtonpost.com/clint-lanier-and-derek-hembree/feeling-welcome-at-the-wa_b_5831568.html,huffingtonpost.com,
9,2014-10-10 04:03:28 -0700,,Magazine,2014,10,8,Editor tagline: Fun outside on a bike!,"","","",true,true,true,true,http://www.thrillist.com/eat/austin/austin-s-best-breakfast-tacos-ranked-by-musicians-tacodeli-veracruz-all-natural,thrillist.com,
10,2014-10-10 04:04:27 -0700,,Magazine,2014,3,2,Editor tagline: Fun outside on a bike!,"","","",true,true,false,true,http://www.businessinsider.com/las-vegas-food-scene-2014-10,businessinsider.com,
12,2014-10-10 04:06:31 -0700,,Magazine,2014,10,3,Edigtor tagline goes right here untl the end of the sentence,"","","",true,true,true,true,http://intelligenttravel.nationalgeographic.com/2014/10/03/i-heart-my-national-park-joshua-tree/,nationalgeographic.com,
4,2014-10-08 14:59:25 -0700,,Magazine,2014,10,8,Tagline goes here,"DD, SS",FD,"",true,true,true,true,http://www.huffingtonpost.com/2014/07/23/green-hotels-eco-friendly-travelers_n_5599709.html,huffingtonpost.com,
7,2014-10-08 19:43:18 -0700,,Magazine,2014,10,8,Editortagline goes here,"","DD, FD","",true,true,true,true,http://www.huffingtonpost.com/anne-maxfield/noshis-coney-island_b_5688871.html,huffingtonpost.com,
13,2014-10-15 05:14:19 -0700,,Magazine,2014,1,14,now is the time for all good people to come to the aid of ,"","","",true,true,false,true,http://www.utsandiego.com/news/2014/oct/09/5-best-bites-in-san-diego/,utsandiego.com,
11,2014-10-10 04:05:44 -0700,,Magazine,2014,11,3,Editor tagline goes right here untl the end of the sentence,"","","",true,true,true,true,http://www.nbcsandiego.com/news/local/Highly-Ranked-Mexican-Food-San-Diego-Yelp-273806761.html,nbcsandiego.com,
14,2014-10-23 21:42:16 -0700,2014-12-05 02:12:00 -0800,Magazine,2013,8,7,asdfasdf,"","","",true,true,true,true,http://www.tripadvisor.com/PressCenter-i6185-c1-Press_Releases.html,tripadvisor.com,
15,2014-10-23 21:50:02 -0700,2014-11-01 21:01:00 -0700,Magazine,2013,8,7,asdfasdfasdf,"","","",true,true,true,true,http://press.opentable.com/releasedetail.cfm?ReleaseID=783467,opentable.com,
16,2014-10-24 01:05:54 -0700,2014-12-02 00:01:00 -0800,Magazine,2014,9,15,asdfasdfasdfasdfasdfasdf,"","","",true,true,true,true,http://www.cheapflights.com/news/top-10-celeb-inspired-cheeseburger-joints-us/,cheapflights.com,
17,2014-10-24 12:45:56 -0700,,Magazine,2014,10,16,asdfasdf asfasdfasff,"","","",true,true,true,true,http://intelligenttravel.nationalgeographic.com/2014/10/16/leaf-peeping-paradise-the-finger-lakes/,nationalgeographic.com,true
18,2014-10-24 12:52:18 -0700,,Magazine,2014,9,11,sdf asdfasdf adsfasdfff,"","","",true,true,true,true,http://blog.oyster.com/furry-and-feathered-friends-8-hotels-with-permanent-pet-residents-49290/,oyster.com,true
19,2014-10-24 12:54:22 -0700,,Magazine,,,,asdfasdf,"","","",true,true,true,true,http://checkin.trivago.com/the-definitively-coolest-hotels-in-new-orleans/,trivago.com,false
20,2014-10-24 12:55:29 -0700,,Magazine,2014,10,15,asdfasdf  asfasdf wrywrtyrty,"","","",true,true,true,true,http://press.opentable.com/releasedetail.cfm?ReleaseID=876284,opentable.com,true
